#-----------------------------------------------------------
# Vivado v2024.2 (64-bit)
# SW Build 5239630 on Fri Nov 08 22:34:34 MST 2024
# IP Build 5239520 on Sun Nov 10 16:12:51 MST 2024
# SharedData Build 5239561 on Fri Nov 08 14:39:27 MST 2024
# Start of session at: Mon May  4 13:01:56 2026
# Process ID         : 2479
# Current directory  : /home/ubuntu/firesim-build/platforms/f2/aws-fpga-firesim-f2/hdk/cl/developer_designs/cl_f2-firesim-FireSim-FireSimRocketNICNoTraceConfig-BaseF2Config/build/scripts
# Command line       : vivado -mode batch -source build_all.tcl -log 2026_05_04-130149.vivado.log -tclargs SSI_SpreadLogic_high AggressiveExplore AggressiveExplore A1 B0 C0 H2
# Log file           : /home/ubuntu/firesim-build/platforms/f2/aws-fpga-firesim-f2/hdk/cl/developer_designs/cl_f2-firesim-FireSim-FireSimRocketNICNoTraceConfig-BaseF2Config/build/scripts/2026_05_04-130149.vivado.log
# Journal file       : /home/ubuntu/firesim-build/platforms/f2/aws-fpga-firesim-f2/hdk/cl/developer_designs/cl_f2-firesim-FireSim-FireSimRocketNICNoTraceConfig-BaseF2Config/build/scripts/vivado.jou
# Running On         : ip-192-168-1-58
# Platform           : Ubuntu
# Operating System   : Ubuntu 24.04.1 LTS
# Processor Detail   : Intel(R) Xeon(R) 6975P-C
# CPU Frequency      : 3899.670 MHz
# CPU Physical cores : 4
# CPU Logical cores  : 8
# Host memory        : 33089 MB
# Swap memory        : 10737 MB
# Total Virtual      : 43827 MB
# Available Virtual  : 43318 MB
#-----------------------------------------------------------
source build_all.tcl
# set BUILD_STRATEGY "LEGACY_FIXED"
# set BUILD_STRATEGY_FILE ""
# set STRATEGY_SYNTH_OPTIONS "-keep_equivalent_registers"
# set STRATEGY_SYNTH_DIRECTIVE ""
# set STRATEGY_OPT_OPTIONS ""
# set STRATEGY_OPT_DIRECTIVE ""
# set STRATEGY_PLACE_OPTIONS ""
# set STRATEGY_PHYS_OPT 1
# set STRATEGY_PHYS_OPTIONS ""
# set STRATEGY_ROUTE_OPTIONS "-tns_cleanup"
# set STRATEGY_ROUTE_PHYS_OPT 0
# set STRATEGY_POST_PHYS_OPTIONS ""
# set STRATEGY_POST_PHYS_DIRECTIVE ""
# if { [info exists ::env(BUILD_STRATEGY)] } {
#     set BUILD_STRATEGY $::env(BUILD_STRATEGY)
#     set BUILD_STRATEGY_FILE "${HDK_SHELL_DIR}/build/scripts/strategy_${BUILD_STRATEGY}.tcl"
#     if {![file exists $BUILD_STRATEGY_FILE]} {
#         print "ERROR: BUILD_STRATEGY requested missing file ${BUILD_STRATEGY_FILE}"
#         exit 1
#     }
# 
#     source $BUILD_STRATEGY_FILE
# 
#     set STRATEGY_SYNTH_OPTIONS $synth_options
#     set STRATEGY_SYNTH_DIRECTIVE $synth_directive
# 
#     set STRATEGY_OPT_OPTIONS $opt_options
#     set STRATEGY_OPT_DIRECTIVE $opt_directive
# 
#     set STRATEGY_PLACE_OPTIONS $place_options
#     if {$place_directive ne ""} {
#         set PLACE_DIRECT $place_directive
#     }
# 
#     set STRATEGY_PHYS_OPT $phys_opt
#     set STRATEGY_PHYS_OPTIONS $phys_options
#     if {$phys_directive ne ""} {
#         set PHY_OPT_DIRECT $phys_directive
#     }
# 
#     set STRATEGY_ROUTE_OPTIONS $route_options
#     if {$route_directive ne ""} {
#         set ROUTE_DIRECT $route_directive
#     }
#     set STRATEGY_ROUTE_PHYS_OPT $route_phys_opt
#     set STRATEGY_POST_PHYS_OPTIONS $post_phys_options
#     set STRATEGY_POST_PHYS_DIRECTIVE $post_phys_directive
# }
## set_param route.enableGlobalHoldIter 1
## set synth_options "-no_lc -shreg_min_size 5 -fsm_extraction one_hot -resource_sharing auto -retiming"
## set synth_directive "default"
## set opt 1
## set opt_options    ""
## set opt_directive  "Explore"
## set place_options    ""
## set place_directive  "ExtraNetDelay_high"
## set phys_opt 1
## set phys_options     ""
## set phys_directive   "AggressiveExplore"
## set route_options    "-tns_cleanup"
## set route_directive  "Explore"
## set route_phys_opt 1
## set post_phys_options     ""
## set post_phys_directive   "AggressiveExplore"
# display_proj

    ==================================================
    Running CL builds w/ updated build tag
    ==================================================
    vivado_tool      : 2024.2
    cl               : cl_f2-firesim-FireSim-FireSimRocketNICNoTraceConfig-BaseF2Config
    mode             : small_shell
    clock_recipe_a   : A1
    clock_recipe_b   : B0
    clock_recipe_c   : C0
    clock_recipe_hbm : H2
    flow             : BuildAll
    build_strategy   : TIMING
    strategy_file    : /home/ubuntu/firesim-build/platforms/f2/aws-fpga-firesim-f2/hdk/common/shell_stable/build/scripts/strategy_TIMING.tcl
    place_direct     : ExtraNetDelay_high
    phy_opt_direct   : AggressiveExplore
    route_direct     : Explore
    synth_options    : -no_lc -shreg_min_size 5 -fsm_extraction one_hot -resource_sharing auto -retiming
    synth_directive  : default
    opt_options      : 
    opt_directive    : Explore
    place_options    : 
    phys_opt         : 1
    phys_options     : 
    route_options    : -tns_cleanup
    route_phys_opt   : 1
    post_phys_opts   : 
    post_phys_direct : AggressiveExplore
    build_tag        : 2026_05_04-130149
    ==================================================
    
# set scripts_dir [pwd]
# set build_dir [file dirname $scripts_dir]
# create_dir "reports"              $build_dir
# create_dir "checkpoints"          $build_dir
# create_dir "src_post_encryption"  $build_dir
# set design_dir       "${CL_DIR}/design"
# set constraints_dir  "${build_dir}/constraints"
# set reports_dir      "${build_dir}/reports"
# set checkpoints_dir  "${build_dir}/checkpoints"
# set reports_dir      "${build_dir}/reports"
# set src_post_enc_dir "${build_dir}/src_post_encryption"
# cd $scripts_dir
# print "Generating clock contraints for CL source clocks"

AWS FPGA: (13:04:09): Generating clock contraints for CL source clocks

# source $HDK_SHELL_DIR/build/scripts/aws_gen_clk_constraints.tcl
## switch $clock_recipe_a {
##     "A0" {
##         #NOT SUPPORTED# set clk_main_a0_period        8
##         #NOT SUPPORTED# set clk_main_a0_half_period   4
##         set clk_main_a0_period        4
##         set clk_main_a0_half_period   2
##         set clk_extra_a1_period      16
##         set clk_extra_a1_half_period  8
##         set clk_extra_a2_period       5.333
##         set clk_extra_a2_half_period  2.667
##         set clk_extra_a3_period       4
##         set clk_extra_a3_half_period  2
##     }
##     "A1" {
##         set clk_main_a0_period        4
##         set clk_main_a0_half_period   2
##         set clk_extra_a1_period       8
##         set clk_extra_a1_half_period  4
##         set clk_extra_a2_period       2.667
##         set clk_extra_a2_half_period  1.333
##         set clk_extra_a3_period       2
##         set clk_extra_a3_half_period  1
##     }
##     "A2" {
##         #NOT SUPPORTED# set clk_main_a0_period        64
##         #NOT SUPPORTED# set clk_main_a0_half_period   32
##         set clk_main_a0_period         4
##         set clk_main_a0_half_period    2
##         set clk_extra_a1_period      128
##         set clk_extra_a1_half_period  64
##         set clk_extra_a2_period        8
##         set clk_extra_a2_half_period   4
##         set clk_extra_a3_period       16
##         set clk_extra_a3_half_period   8
##     }
##     default {
##         puts "$clock_recipe_a is NOT a valid clock_recipe_a."
##     }
## }
## switch $clock_recipe_b {
##     "B0" {
##         set clk_extra_b0_period       4
##         set clk_extra_b0_half_period  2
##         set clk_extra_b1_period       8
##         set clk_extra_b1_half_period  4
##     }
##     "B1" {
##         set clk_extra_b0_period       8
##         set clk_extra_b0_half_period  4
##         set clk_extra_b1_period      16
##         set clk_extra_b1_half_period  8
##     }
##     "B2" {
##         set clk_extra_b0_period       2.222
##         set clk_extra_b0_half_period  1.111
##         set clk_extra_b1_period       4.444
##         set clk_extra_b1_half_period  2.222
##     }
##     "B3" {
##         set clk_extra_b0_period       4
##         set clk_extra_b0_half_period  2
##         set clk_extra_b1_period      16
##         set clk_extra_b1_half_period  8
##     }
##     "B4" {
##         set clk_extra_b0_period       3.333
##         set clk_extra_b0_half_period  1.667
##         set clk_extra_b1_period      13.333
##         set clk_extra_b1_half_period  6.667
##     }
##     "B5" {
##         set clk_extra_b0_period       2.5
##         set clk_extra_b0_half_period  1.25
##         set clk_extra_b1_period      10
##         set clk_extra_b1_half_period  5
##     }
##     default {
##         puts "$clock_recipe_b is NOT a valid clock_recipe_b."
##     }
## }
## switch $clock_recipe_c {
##     "C0" {
##         set clk_extra_c0_period       3.333
##         set clk_extra_c0_half_period  1.667
##         set clk_extra_c1_period       2.5
##         set clk_extra_c1_half_period  1.25
##     }
##     "C1" {
##         set clk_extra_c0_period       6.667
##         set clk_extra_c0_half_period  3.333
##         set clk_extra_c1_period       5
##         set clk_extra_c1_half_period  2.5
##     }
##     "C2" {
##         set clk_extra_c0_period      13.333
##         set clk_extra_c0_half_period  6.667
##         set clk_extra_c1_period      10
##         set clk_extra_c1_half_period  5
##     }
##     "C3" {
##         set clk_extra_c0_period       5
##         set clk_extra_c0_half_period  2.5
##         set clk_extra_c1_period       3.75
##         set clk_extra_c1_half_period  1.875
##     }
##     default {
##         puts "$clock_recipe_c is NOT a valid clock_recipe_c."
##     }
## }
## switch $clock_recipe_hbm {
##     "H0" {
##         set clk_hbm_axi_period       4
##         set clk_hbm_axi_half_period  2
##     }
##     "H1" {
##         set clk_hbm_axi_period       8
##         set clk_hbm_axi_half_period  4
##     }
##     "H2" {
##         set clk_hbm_axi_period       2.222
##         set clk_hbm_axi_half_period  1.111
##     }
##     "H3" {
##         set clk_hbm_axi_period       3.333
##         set clk_hbm_axi_half_period  1.667
##     }
##     "H4" {
##         set clk_hbm_axi_period       2.5
##         set clk_hbm_axi_half_period  1.25
##     }
##     default {
##         puts "$clock_recipe_hbm is NOT a valid clock_recipe_hbm."
##     }
## }
## set pin_clk_extra_a1 "\[get_pins -of_objects \[get_cells -hierarchical -regexp .*AWS_CLK_GEN/CLK_GRP_A_EN_I.CLK_MMCM_A_I/inst/CLK_CORE_DRP_I/clk_inst/mmcme4_adv_inst\] -filter {NAME=~*CLKOUT0}\]"
## set pin_clk_extra_a2 "\[get_pins -of_objects \[get_cells -hierarchical -regexp .*AWS_CLK_GEN/CLK_GRP_A_EN_I.CLK_MMCM_A_I/inst/CLK_CORE_DRP_I/clk_inst/mmcme4_adv_inst\] -filter {NAME=~*CLKOUT1}\]"
## set pin_clk_extra_a3 "\[get_pins -of_objects \[get_cells -hierarchical -regexp .*AWS_CLK_GEN/CLK_GRP_A_EN_I.CLK_MMCM_A_I/inst/CLK_CORE_DRP_I/clk_inst/mmcme4_adv_inst\] -filter {NAME=~*CLKOUT2}\]"
## set pin_clk_extra_b0 "\[get_pins -of_objects \[get_cells -hierarchical -regexp .*AWS_CLK_GEN/CLK_GRP_B_EN_I.CLK_MMCM_B_I/inst/CLK_CORE_DRP_I/clk_inst/mmcme4_adv_inst\] -filter {NAME=~*CLKOUT0}\]"
## set pin_clk_extra_b1 "\[get_pins -of_objects \[get_cells -hierarchical -regexp .*AWS_CLK_GEN/CLK_GRP_B_EN_I.CLK_MMCM_B_I/inst/CLK_CORE_DRP_I/clk_inst/mmcme4_adv_inst\] -filter {NAME=~*CLKOUT1}\]"
## set pin_clk_extra_c0 "\[get_pins -of_objects \[get_cells -hierarchical -regexp .*AWS_CLK_GEN/CLK_GRP_C_EN_I.CLK_MMCM_C_I/inst/CLK_CORE_DRP_I/clk_inst/mmcme4_adv_inst\] -filter {NAME=~*CLKOUT0}\]"
## set pin_clk_extra_c1 "\[get_pins -of_objects \[get_cells -hierarchical -regexp .*AWS_CLK_GEN/CLK_GRP_C_EN_I.CLK_MMCM_C_I/inst/CLK_CORE_DRP_I/clk_inst/mmcme4_adv_inst\] -filter {NAME=~*CLKOUT1}\]"
## set pin_clk_hbm_axi  "\[get_pins -of_objects \[get_cells -hierarchical -regexp .*AWS_CLK_GEN/CLK_HBM_EN_I.CLK_MMCM_HBM_I/inst/CLK_CORE_DRP_I/clk_inst/mmcme4_adv_inst\] -filter {NAME=~*CLKOUT0}\]"
## if { [file exists $CL_DIR/build/constraints/generated_cl_clocks_aws.xdc] } {
##     puts "Deleting old CL clocks constraints file since it will be replaced.";
##     file delete -force $CL_DIR/build/constraints/generated_cl_clocks_aws.xdc
## }
## set clocks_file [open "$CL_DIR/build/constraints/generated_cl_clocks_aws.xdc" w]
## puts $clocks_file "#-------------------------------------------------------------------------"
## puts $clocks_file "# Do not edit this file! It is auto-generated from $argv0."
## puts $clocks_file "#-------------------------------------------------------------------------"
## puts $clocks_file "###############################################################################                          "
## puts $clocks_file "# OOC Source Clocks                                                                                      "
## puts $clocks_file "###############################################################################                          "
## puts $clocks_file "#CL HBM reference clock @100MHz                                                                          "
## puts $clocks_file "create_clock -period 10.000 -name clk_hbm_ref  -waveform {0.000 5.000} \[get_ports clk_hbm_ref\]       \n"
## puts $clocks_file "# Group A Clocks"
## puts $clocks_file "create_clock -period $clk_main_a0_period  -name clk_main_a0 -waveform {0.000 $clk_main_a0_half_period}  \[get_ports clk_main_a0\]"
## close $clocks_file
# print "Encrypting CL source code"

AWS FPGA: (13:04:09): Encrypting CL source code

# source encrypt.tcl
## set HDK_SHELL_DIR $::env(HDK_SHELL_DIR)
## set HDK_SHELL_DESIGN_DIR $::env(HDK_SHELL_DESIGN_DIR)
## set CL_DIR $::env(CL_DIR)
## set TARGET_DIR $CL_DIR/build/src_post_encryption
## set UNUSED_TEMPLATES_DIR $HDK_SHELL_DESIGN_DIR/interfaces
## if {[llength [glob -nocomplain -dir $TARGET_DIR *]] != 0} {
##   eval file delete -force [glob $TARGET_DIR/*]
## }
## file copy -force $CL_DIR/design/cl_firesim_defines.vh                 $TARGET_DIR
## file copy -force $CL_DIR/design/FireSim-generated.defines.vh          $TARGET_DIR
## file copy -force $CL_DIR/design/cl_id_defines.vh                      $TARGET_DIR
## file copy -force $CL_DIR/design/cl_firesim.sv                         $TARGET_DIR
## file copy -force $CL_DIR/design/FireSim-generated.sv                  $TARGET_DIR
## file copy -force $CL_DIR/../common/design/cl_common_defines.vh        $TARGET_DIR
## file copy -force $UNUSED_TEMPLATES_DIR/unused_apppf_irq_template.inc  $TARGET_DIR
## file copy -force $UNUSED_TEMPLATES_DIR/unused_cl_sda_template.inc     $TARGET_DIR
## file copy -force $UNUSED_TEMPLATES_DIR/unused_ddr_template.inc         $TARGET_DIR
## file copy -force $UNUSED_TEMPLATES_DIR/unused_dma_pcis_template.inc   $TARGET_DIR
## file copy -force $UNUSED_TEMPLATES_DIR/unused_pcim_template.inc       $TARGET_DIR
## file copy -force $UNUSED_TEMPLATES_DIR/unused_sh_ocl_template.inc      $TARGET_DIR
## file copy -force $UNUSED_TEMPLATES_DIR/unused_flr_template.inc        $TARGET_DIR
## exec chmod +w {*}[glob $TARGET_DIR/*]
## set TOOL_VERSION $::env(VIVADO_TOOL_VERSION)
## set vivado_version [string range [version -short] 0 5]
## puts "AWS FPGA: VIVADO_TOOL_VERSION $TOOL_VERSION"
AWS FPGA: VIVADO_TOOL_VERSION 2024.2
## puts "vivado_version $vivado_version"
vivado_version 2024.2
# switch $BUILD_FLOW {
#   "SynthCL" {
#     source ${scripts_dir}/synth_${CL}.tcl
#   }
# 
#   "ImplCL" {
#     source ${scripts_dir}/build_level_1_cl.tcl
#   }
# 
#   default {
#     source ${scripts_dir}/synth_${CL}.tcl
#     source ${scripts_dir}/build_level_1_cl.tcl
#   }
# }
## if {![info exists CL_MODULE]} {
##     set CL_MODULE "cl_firesim"
## }
## set VDEFINES ""
## source ${HDK_SHELL_DIR}/build/scripts/synth_cl_header.tcl
### print "Creating in-memory synthesis project"

AWS FPGA: (13:04:09): Creating in-memory synthesis project

### set_param sta.enableAutoGenClkNamePersistence 0
### create_project -in_memory -part $DEVICE_TYPE -force
create_project: Time (s): cpu = 00:00:00.42 ; elapsed = 00:00:06 . Memory (MB): peak = 1345.918 ; gain = 0.027 ; free physical = 28542 ; free virtual = 41076
### set_property XPM_LIBRARIES {XPM_CDC XPM_MEMORY XPM_FIFO} [current_project]
### print "Reading common AWS components"

AWS FPGA: (13:04:15): Reading common AWS components

### read_verilog -sv [ list \
###   ${HDK_SHELL_DESIGN_DIR}/../../lib/interfaces.sv \
###   ${HDK_SHELL_DESIGN_DIR}/../../lib/aws_clk_gen.sv \
###   ${HDK_SHELL_DESIGN_DIR}/../../lib/aws_clk_regs.sv \
###   ${HDK_SHELL_DESIGN_DIR}/../../lib/axil_to_cfg_cnv.sv \
###   ${HDK_SHELL_DESIGN_DIR}/../../lib/axis_flop_fifo.sv \
###   ${HDK_SHELL_DESIGN_DIR}/../../lib/lib_pipe.sv \
###   ${HDK_SHELL_DESIGN_DIR}/../../lib/bram_1w1r.sv \
###   ${HDK_SHELL_DESIGN_DIR}/../../lib/bram_2rw.sv \
###   ${HDK_SHELL_DESIGN_DIR}/../../lib/xpm_fifo.sv \
###   ${HDK_SHELL_DESIGN_DIR}/../../lib/flop_fifo.sv \
###   ${HDK_SHELL_DESIGN_DIR}/../../lib/flop_fifo_in.sv \
###   ${HDK_SHELL_DESIGN_DIR}/../../lib/cdc_async_fifo.sv \
###   ${HDK_SHELL_DESIGN_DIR}/../../lib/cdc_sync.sv \
###   ${HDK_SHELL_DESIGN_DIR}/../../lib/ft_fifo_p.v \
###   ${HDK_SHELL_DESIGN_DIR}/../../lib/ft_fifo.v \
###   ${HDK_SHELL_DESIGN_DIR}/../../lib/ram_fifo_ft.sv \
###   ${HDK_SHELL_DESIGN_DIR}/../../lib/rr_arb.sv \
###   ${HDK_SHELL_DESIGN_DIR}/sh_ddr/synth/sync.v \
###   ${HDK_SHELL_DESIGN_DIR}/sh_ddr/synth/flop_ccf.sv \
###   ${HDK_SHELL_DESIGN_DIR}/sh_ddr/synth/ccf_ctl.v \
###   ${HDK_SHELL_DESIGN_DIR}/sh_ddr/synth/mgt_acc_axl.sv \
###   ${HDK_SHELL_DESIGN_DIR}/sh_ddr/synth/mgt_gen_axl.sv \
###   ${HDK_SHELL_DESIGN_DIR}/sh_ddr/synth/sh_ddr.sv \
###   ${HDK_SHELL_DESIGN_DIR}/interfaces/cl_ports.vh
### ]
### print "Reading AWS Constraints"

AWS FPGA: (13:04:15): Reading AWS Constraints

### read_xdc ${HDK_SHELL_DIR}/build/constraints/cl_pins.xdc
### read_xdc ${CL_DIR}/build/constraints/generated_cl_clocks_aws.xdc
### read_xdc -ref ${CL} ${HDK_SHELL_DIR}/build/constraints/cl_ddr_timing_aws.xdc
### set_property USED_IN {synthesis implementation OUT_OF_CONTEXT} [get_files generated_cl_clocks_aws.xdc]
### set_property PROCESSING_ORDER EARLY [get_files generated_cl_clocks_aws.xdc]
### set_property USED_IN {synthesis implementation} [get_files cl_ddr_timing_aws.xdc]
### set_property PROCESSING_ORDER LATE   [get_files cl_ddr_timing_aws.xdc]
## print "Reading encrypted user source codes"

AWS FPGA: (13:04:15): Reading encrypted user source codes

## file mkdir $CL_DIR/design/ipgen
## set ipgen_scripts [glob -nocomplain $CL_DIR/design/FireSim-generated.*.ipgen.tcl]
## foreach script $ipgen_scripts {
##     source $script
## }
WARNING: [Coretcl 2-176] No IPs found
## generate_target all [get_ips]
WARNING: [Coretcl 2-176] No IPs found
## synth_ip [get_ips]
INFO: [Vivado 12-3441] generate_netlist_ip - operation complete
## puts "AWS FPGA: ([clock format [clock seconds] -format %T]) Calling aws_gen_clk_constraints.tcl to generate clock constraints from developer's specified recipe."
